repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/abrt/abrt,0.64546,,423,0.48,215,182,14911,1.5,5,3,484,7,2009-02-02T13:17:15Z,C,GNU General Public License v2.0,229,2023-07-01T04:59:16Z
https://github.com/AcademySoftwareFoundation/openexr,0.64295,,1367,3.52,126,255,782,2.16,5,10,1509,0,2003-01-21T06:34:28Z,C,"BSD 3-Clause ""New"" or ""Revised"" License",1541,2024-01-22T00:45:40Z
https://github.com/appneta/tcpreplay,0.55548,,358,0.5,53,265,1006,1.44,4,1,403,7,2002-03-29T03:44:47Z,C,,1081,2023-06-11T18:12:27Z
https://github.com/Mbed-TLS/mbedtls,0.74852,,6429,113.44,362,183,1605,2.88,6,10,7805,0,2009-01-03T21:22:43Z,C,Other,4734,2024-01-26T13:53:38Z
https://github.com/axiomatic-systems/Bento4,0.53162,,261,0.69,49,221,342,1.41,2,3,705,0,2005-11-10T22:52:16Z,C++,,1802,2024-01-14T19:42:59Z
https://github.com/eclipse-threadx/usbx,0.40477,,95,0.38,11,45,0,4.22,2,3,137,0,2020-05-11T15:03:23Z,C,Other,119,2024-01-30T15:11:03Z
https://github.com/cesanta/mjs,0.45797,,33,0,17,86,50,0.46,4,8,177,27,2016-12-21T14:11:16Z,C,Other,1795,2021-10-28T13:51:39Z
https://github.com/CESNET/libyang,0.64875,,1643,12.1,34,108,1473,3.05,7,5,1689,0,2015-03-13T10:25:52Z,C,"BSD 3-Clause ""New"" or ""Revised"" License",337,2024-01-11T08:52:00Z
https://github.com/contiki-ng/contiki-ng,0.65316,,2110,13,327,214,1020,1.85,4,1,2383,0,2006-06-17T22:41:10Z,C,"BSD 3-Clause ""New"" or ""Revised"" License",1209,2024-01-26T15:05:48Z
https://github.com/electron/electron,0.82265,1625,29491,17.83,1432,132,132872,0.99,9,252,30404,0,2013-03-13T19:31:24Z,C++,MIT License,110456,2024-01-30T20:48:47Z
https://github.com/envoyproxy/envoy,0.78862,2,28078,70.31,1271,91,24852,1.01,5,48,29699,0,2016-08-08T15:07:24Z,C++,Apache License 2.0,23418,2024-01-30T21:54:17Z
https://github.com/espruino/Espruino,0.66472,,1073,10.81,149,125,1250,3.55,4,7,1191,0,2013-09-26T13:29:36Z,C,Other,2670,2024-01-30T10:06:22Z
https://github.com/Exiv2/exiv2,0.67589,,2559,9.23,132,244,2071,4.39,4,4,2728,0,2004-01-15T02:44:33Z,C++,Other,822,2024-01-26T04:03:21Z
https://github.com/facebook/hhvm,0.78884,,1434,181.46,2223,171,33365,2.75,1,139,1784,0,2010-01-02T01:17:06Z,C++,Other,17920,2024-01-30T22:44:04Z
https://github.com/FFmpeg/FFmpeg,0.74066,,108,72.19,2355,281,46935,1.02,2,16,109,0,2000-12-20T00:02:47Z,C,Other,40702,2024-01-30T20:21:56Z
